WellName,Formation Class,Latitude_BH,Longitude_BH,TVD_FT,TopOfZone_FT,BottomOfZone_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,TotalOrganicCarbon_WTPCT
W5337,A,31.510116,-103.81306,10226,10084.46881,10452.72266,416.226301,94.347058,2.572061,108.106138,0.080418,0.062524,2.60813
W5338,A,31.83979833,-103.9624957,9906,9611.60487,10011.25277,416.241306,83.454757,2.549264,239.705157,0.088112,0.070483,2.6701
W5339,A,31.7425506,-104.0138445,9636,9596.647431,10020.92447,416.245409,90.247499,2.562226,124.904116,0.087146,0.067822,2.814637
W5340,A,31.86963123,-103.8716798,10435,10281.69514,10690.2562,416.288942,78.105886,2.516005,503.869825,0.091577,0.074955,2.570929
W5341,A,31.87134965,-103.8612656,10421,10350.05387,10765.42709,416.359514,77.877978,2.514746,483.927471,0.091548,0.075081,2.557836
W5342,A,32.12988,-103.55051,12405,12342.38559,12776.44536,416.384387,71.261206,2.560839,165.27968,0.08715,0.060762,2.081325
W5343,A,32.129863,-103.547757,12422,12342.38559,12776.44536,416.384387,71.261206,2.560839,165.27968,0.08715,0.060762,2.081325
W5344,A,32.0949123,-103.5504449,12434,12342.38559,12776.44536,416.384387,71.261206,2.560839,165.27968,0.08715,0.060762,2.081325
W5345,A,32.09482806,-103.5467139,12471,12342.38559,12776.44536,416.384387,71.261206,2.560839,165.27968,0.08715,0.060762,2.081325
W5346,A,32.0949461,-103.5486199,12504,12342.38559,12776.44536,416.384387,71.261206,2.560839,165.27968,0.08715,0.060762,2.081325
W5347,A,32.094325,-103.55485,12401,12322.11278,12760.68423,416.456618,71.119664,2.564579,172.64091,0.08497,0.060173,2.105115
W5348,A,32.09438,-103.552795,12585,12322.11278,12760.68423,416.456618,71.119664,2.564579,172.64091,0.08497,0.060173,2.105115
W5349,A,31.7383015,-103.865339,10369,10361.49814,10806.51174,416.476125,88.491427,2.513782,193.788025,0.107847,0.085284,3.144353
W5350,A,31.73817684,-103.8633309,10384,10361.49814,10806.51174,416.476125,88.491427,2.513782,193.788025,0.107847,0.085284,3.144353
W5351,A,31.98585235,-103.6526553,11929,11834.4149,12225.00504,416.640236,81.45683,2.580229,106.915404,0.076114,0.055713,2.226787
