WellName,OilGravityAPI,GasGravity,SolutionGasOilRatio,InitialReservoirPressure,ReservoirTemperature,Bob,Boi,Bgi,Bwi,Coi,Cgi,Cwi,Cti,Coi(Vazquez-Beggs)
A703,46.21919632,0.796196938,1736.226318,10767.47168,187.5180054,2.054113778,1.927772596,0.000461553,1.004243354,9.40E-06,2.99E-05,2.12E-06,1.01E-05,9.40E-06
A704,46.21919632,0.796196938,1707.914063,10508.73047,183.0119781,2.031865144,1.910125567,0.000462797,1.003438766,9.42E-06,3.09E-05,2.12E-06,8.91E-06,9.42E-06
A705,45,0.78,1936.190663,10556.81445,183.8493805,2.166004224,2.029410565,0.000451818,1.003582465,1.06E-05,3.26E-05,2.12E-06,9.35E-06,1.05E-05
A706,45.8,0.78,1909.386357,10791.37891,188.3082886,2.154931558,2.017529068,0.000459458,1.004424988,1.02E-05,3.01E-05,2.13E-06,1.08E-05,1.02E-05
A707,45,0.78,2138.342863,10806.33105,188.5692139,2.304315987,2.148891748,0.000451109,1.004484884,1.13E-05,3.14E-05,2.13E-06,1.16E-05,1.12E-05
A708,46.3,0.78,1869.673514,10355.31152,183.958847,2.126935699,1.995957302,0.000463368,1.00410727,1.04E-05,3.21E-05,2.13E-06,9.49E-06,1.04E-05
A709,44.1996727,0.80535686,1826.78894,10519.2373,183.5594635,2.110573479,1.981467649,0.000464202,1.003588131,9.96E-06,3.07E-05,2.12E-06,9.31E-06,9.95E-06
A710,45.9,0.78,1748.059324,10618.09863,188.627182,2.050039966,1.926173352,0.00046217,1.004969054,9.62E-06,3.10E-05,2.14E-06,1.05E-05,9.62E-06
A711,45.56,0.78,2685.77457,10458.02344,188.0588531,2.681900179,2.485059553,0.000464179,1.005178083,1.42E-05,3.18E-05,2.15E-06,1.29E-05,1.42E-05
A712,46.9,0.78,1704.152679,10321.11328,186.1430969,2.022683849,1.902769011,0.000462955,1.004880062,9.67E-06,3.27E-05,2.15E-06,1.01E-05,9.65E-06
A713,46.73,0.78,1480.860321,10184.16406,183.1342468,1.876889524,1.774631317,0.000465473,1.004262265,8.63E-06,3.29E-05,2.14E-06,9.04E-06,8.63E-06
A714,46.5,0.78,3103.705927,10061.33691,181.457962,2.978481436,2.749427856,0.000464268,1.004025543,1.68E-05,3.39E-05,2.14E-06,1.23E-05,1.68E-05
A715,48.3,0.78,2433.500938,10092.76953,181.6338501,2.514129058,2.337669882,0.000466023,1.004007446,1.34E-05,3.33E-05,2.14E-06,1.09E-05,1.34E-05
A716,46.79294968,0.793637633,2009.067017,10123.43262,183.0190277,2.231861314,2.088837138,0.000462841,1.00437318,1.13E-05,3.39E-05,2.15E-06,1.03E-05,1.13E-05
A717,46,0.78,3101,9873,178,2.970243904,2.747722812,0.000467449,1.003404898,1.70E-05,3.44E-05,2.14E-06,1.36E-05,1.70E-05
A718,46,0.78,2689,9873,178,2.677586005,2.489658426,0.000467449,1.003404898,1.49E-05,3.44E-05,2.14E-06,1.89E-05,1.49E-05
A719,46,0.78,2689,9873,178,2.677586005,2.489658426,0.000467449,1.003404898,1.49E-05,3.44E-05,2.14E-06,1.89E-05,1.49E-05
A720,46,0.78,2689,9873,178,2.677586005,2.489658426,0.000467449,1.003404898,1.49E-05,3.44E-05,2.14E-06,1.89E-05,1.49E-05
A721,46,0.78,2689,9873,178,2.677586005,2.489658426,0.000467449,1.003404898,1.49E-05,3.44E-05,2.14E-06,1.89E-05,1.49E-05
A722,46.79294968,0.793637633,2177.663818,10446.67969,188.8629303,2.351240899,2.190683241,0.000461369,1.005463198,1.19E-05,3.25E-05,2.15E-06,9.83E-06,1.18E-05
A723,46,0.78,3510,7548,169,3.259677415,3.096240939,0.000509951,1.006395112,2.48E-05,5.21E-05,2.26E-06,2.88E-05,2.48E-05
A724,46,0.78,2689,9873,178,2.677586005,2.489658426,0.000467449,1.003404898,1.49E-05,3.44E-05,2.14E-06,1.89E-05,1.49E-05
A725,46,0.78,3101,9873,178,2.970243904,2.747722812,0.000467449,1.003404898,1.70E-05,3.44E-05,2.14E-06,2.10E-05,1.70E-05
A726,46.9,0.78,2644.427645,10274.63184,185.5035858,2.657707263,2.463935444,0.000465437,1.004797732,1.43E-05,3.26E-05,2.15E-06,1.16E-05,1.43E-05
A727,46.79294968,0.793637633,1995.20874,10275.59766,185.769989,2.224847152,2.08114223,0.000462128,1.004883226,1.11E-05,3.32E-05,2.15E-06,1.02E-05,1.11E-05
A728,46.62473297,0.794386864,1994.994141,9985.888672,180.5324097,2.220298739,2.08020365,0.000463694,1.003929884,1.14E-05,3.46E-05,2.14E-06,9.98E-06,1.13E-05
